"","exp","valence","arousal","dominance","liking","familiarity","VAQ"
"1",7,6.4,7.7,6.6,6.5,3,1
"2",4,5,3,4,3.1,4,1
"3",40,3,3.1,5.6,1,1,4
"4",17,3,2.9,2.7,1,1,2
"5",23,1,5,4,1,1,3
"6",2,1.7,6.4,6.1,1,2,1
"7",32,2.4,5.8,6.2,1,1,4
"8",14,8.9,2.6,2.7,7.8,5,2
"9",18,5.9,2.4,4.2,5,4,2
"10",25,3.8,3.2,3.7,4.4,1,3
"11",13,7,2.1,2.8,5,1,2
"12",1,7.5,6.1,6.7,8.8,5,1
"13",39,1,8.3,8.2,1,1,4
"14",6,6.7,6.1,4.7,6.9,2,1
"15",20,9,7.1,7.5,9,5,2
"16",36,2,6,6.5,1,1,4
"17",9,6.9,5.8,4.8,7.4,4,1
"18",37,1,6.8,6.6,1.2,1,4
"19",27,5.3,2.1,2.8,5.2,2,3
"20",3,7.6,6.6,4.8,8.4,5,1
"21",24,1.5,6.9,7.6,6.6,5,3
"22",26,3,1.5,5.2,2,1,3
"23",11,7.5,5.3,4.9,6.1,1,2
"24",34,3.5,6.8,6.6,2.4,1,4
"25",31,1.2,6.9,8.5,1,1,4
"26",10,3.1,7.1,6.5,5,1,1
"27",15,6.2,2.7,3,6.1,2,2
"28",33,2,3.4,6.5,2.1,1,4
"29",8,7.7,5,5.7,8.8,5,1
"30",28,3.6,1.8,2.8,2.8,1,3
"31",38,1,7,8.6,1,1,4
"32",19,7.2,5.6,5.7,7.3,4,2
"33",22,5,5.1,5,3.4,1,3
"34",30,3.2,7.1,7.1,5.6,2,3
"35",12,6.7,2.9,2.9,6,1,2
"36",29,5,4,5,4.4,4,3
"37",21,3.3,3,3,2,1,3
"38",5,7.5,6.3,6.9,8.2,5,1
"39",15,6.9,3,6.3,6.6,1,2
"40",19,7.6,6.4,5.9,7.6,4,2
"41",33,3.4,6,6,2.1,3,4
"42",40,3.2,5.8,5.4,2.2,2,4
"43",28,3.8,3.6,5.7,3.9,1,3
"44",24,2.4,3.6,6.3,2.6,4,3
"45",21,3.5,3,4.2,2,1,3
"46",14,6.2,3.6,5.7,6.7,4,2
"47",39,2,6.1,6.4,1.1,1,4
"48",11,6.7,4.3,4.6,6,1,2
"49",5,6.8,6.2,6.1,7.9,5,1
"50",6,6.9,5.6,5.7,8,1,1
"51",18,7.5,6.1,6.2,7.6,4,2
"52",25,7.2,2.7,6.1,7.3,1,3
"53",38,2.1,6.3,5.6,1.2,1,4
"54",4,7.1,6.1,5.9,8.3,5,1
"55",29,3.3,5.5,5.7,3.4,4,3
"56",12,7,1.9,6,7,1,2
"57",26,3.6,1.1,6.1,2.8,1,3
"58",1,6.6,5.9,6.1,6.3,5,1
"59",13,6.4,2.5,6.4,6.3,1,2
"60",17,6.7,3.7,5.2,5.9,1,2
"61",34,2.8,5.8,6,1,2,4
"62",9,6.2,4.9,5.5,7.1,4,1
"63",27,6.3,2.8,5.8,6.4,1,3
"64",31,2.9,5.9,6,2.3,1,4
"65",32,4.4,5.5,4.6,4.3,1,4
"66",37,2.4,6.3,6.3,1.4,1,4
"67",20,7.3,3.5,6.4,7.8,1,2
"68",23,3.2,5.4,4.7,3.5,1,3
"69",2,6.1,5.8,6,7.8,5,1
"70",22,7,1.8,6.3,7.4,1,3
"71",10,3.5,5.8,6.2,3,1,1
"72",36,2,6.1,6.4,1,1,4
"73",30,3.3,2.9,5.8,2.7,4,3
"74",8,7,3.9,6,7.4,5,1
"75",3,6.6,5.9,5.6,7.9,3,1
"76",7,7.9,5.9,6.1,8.3,5,1
"77",6,8.9,7.1,4.8,9,1,1
"78",21,1,3.2,2.6,1,1,3
"79",34,2.9,7.8,7.5,9,2,4
"80",38,3.2,8.1,7.7,9,1,4
"81",2,8.1,5.9,5,8.9,1,1
"82",31,2.1,3.3,7.1,9,1,4
"83",12,5,1.8,5,5,1,2
"84",1,5,1,5,1,1,1
"85",32,4.1,6.3,6.7,8.9,1,4
"86",23,1.9,1,5,1,1,3
"87",25,4.2,1.1,5,1,1,3
"88",40,7,7,6.7,9,1,4
"89",13,3.5,1,5,1,1,2
"90",17,1.8,1,5,1,1,2
"91",26,5.4,1,5,5,1,3
"92",20,7,4,5,9,1,2
"93",14,5,3,5,5,1,2
"94",7,6.6,6.8,6.2,9,4,1
"95",11,7.2,3.6,5,9,1,2
"96",28,2.4,2.2,5,1,1,3
"97",15,7.1,5.4,4.6,8.9,1,2
"98",8,3.5,2.2,5,1,1,1
"99",9,6.2,5,5,8.9,1,1
"100",36,3.2,6.2,6.5,9,3,4
"101",39,2.9,7.6,7.9,9,1,4
"102",29,3.8,2.1,5,1,1,3
"103",24,2.4,2.6,5,1,1,3
"104",33,5.8,5.7,5.7,5,2,4
"105",3,2.9,2.1,5,1,3,1
"106",19,2,1.1,5,1,1,2
"107",18,1.1,1,5,1,1,2
"108",10,6.6,7,6.8,9,1,1
"109",22,6.2,3.1,5,5,1,3
"110",27,4,2.9,5,1,1,3
"111",4,5,2,5,1,1,1
"112",30,4.4,4.8,5,1,1,3
"113",37,1.7,3.1,3.7,1,1,4
"114",5,1.6,4.4,5,1,1,1
"115",17,4,3,6.6,6.7,1,2
"116",2,8.7,7.7,3.1,8.5,5,1
"117",12,5.2,2.7,8.7,2.6,1,2
"118",23,1.6,5.7,2.5,1,1,3
"119",30,2.8,6.5,5.3,7,3,3
"120",40,6.5,7.6,4.2,5.6,1,4
"121",22,5.5,2.6,6.3,6,1,3
"122",19,8.2,7.5,3.2,6.5,3,2
"123",25,2.6,1.7,4.2,4.1,1,3
"124",1,7.8,7.3,5.3,7.1,4,1
"125",3,8.3,8.2,2,8.4,3,1
"126",4,8.5,6.8,4.6,7.6,2,1
"127",18,8.6,3.4,4.1,7.8,2,2
"128",14,8.5,4.3,2.5,8.5,4,2
"129",11,9,8.7,1.5,9,1,2
"130",28,2.3,3.6,3.7,6.6,1,3
"131",5,8.3,8.8,3.4,8.6,4,1
"132",31,3.7,7.6,3.1,2.2,1,4
"133",9,8.8,7.4,3.1,8.5,3,1
"134",10,6.3,8.6,3.7,7.9,2,1
"135",32,1.8,8.2,1.4,1.4,1,4
"136",15,7.4,1.7,6.1,5.3,1,2
"137",27,6.5,3.6,7,5.7,1,3
"138",29,3.9,4.1,6,4,1,3
"139",34,1.9,5.4,3.3,2,1,4
"140",33,3.5,6.3,6,4.1,1,4
"141",6,8.9,8.2,2.1,8.6,4,1
"142",8,8.5,6.6,3.3,8,3,1
"143",20,8.6,8.4,1.9,6.8,4,2
"144",37,1.2,8.7,1.2,1,1,4
"145",26,6.4,3.1,4.4,6.4,1,3
"146",39,2.4,7.4,2.3,1.9,1,4
"147",36,3.6,5.7,5.3,2.8,1,4
"148",21,2.5,3.5,7,3.2,1,3
"149",24,3.8,4.4,3.2,7.1,2,3
"150",13,7.6,1.9,2.4,7.3,1,2
"151",38,1.4,7.2,1.8,1.3,1,4
"152",7,6.5,7.9,4.3,7.6,3,1
"153",27,5.3,5.2,8.9,6.9,1,3
"154",5,8,7,4.7,8.1,1,1
"155",22,6.9,5.3,5.7,8.2,1,3
"156",11,6.9,5.3,7.7,5.2,1,2
"157",6,6.1,6,7.8,7.7,1,1
"158",7,4.1,5.7,8.3,5,1,1
"159",19,7,5.4,8,6.8,1,2
"160",24,4.1,6.8,7.2,8.3,1,3
"161",26,4.8,4,8.2,4.3,1,3
"162",2,5,5.9,7.6,5.8,1,1
"163",28,4.4,5,8.5,7.3,1,3
"164",15,6.7,3,8.3,7.9,1,2
"165",9,7,6.9,7.2,8,1,1
"166",4,6,3.7,8.1,5.5,1,1
"167",20,7.2,6,7.3,8.7,3,2
"168",21,3.4,4.2,8.3,2.3,1,3
"169",12,7.6,5.9,7.3,8.7,1,2
"170",14,7.8,5.7,6.9,8.4,1,2
"171",13,5.8,3,8.7,5.3,1,2
"172",40,3.2,5.7,8,3.5,1,4
"173",8,5,6,8.2,7.3,1,1
"174",29,4.2,5,8.6,6.5,1,3
"175",23,3.3,3.2,8.7,5,2,3
"176",30,3,6.3,7.6,8.3,2,3
"177",34,5.7,7.5,6.9,7.4,1,4
"178",37,2.3,6.5,6.5,8.5,1,4
"179",25,5,4.5,8.4,3,1,3
"180",33,4,4.1,8.7,5.7,1,4
"181",38,2.1,5.4,7.6,6,1,4
"182",1,7.6,5.5,8.3,8.6,1,1
"183",39,2,6.3,7.6,7.1,1,4
"184",31,4.6,5,8.3,5.3,1,4
"185",17,5,4,8.8,3.4,1,2
"186",36,3.8,4,8.8,5.9,1,4
"187",10,4.2,6,8.3,6.5,1,1
"188",32,3.6,4.2,8.5,6.9,1,4
"189",18,6.9,5.6,7.5,7.8,1,2
"190",3,7.8,6.5,7.4,8.8,2,1
"191",6,3.4,6.7,4.1,2.6,1,1
"192",27,4.1,4,3.8,3.2,1,3
"193",9,7.5,5.6,3.7,6.9,3,1
"194",30,1.5,3,3.7,5.4,5,3
"195",20,7.4,5.3,4.2,7.9,5,2
"196",34,3.2,7,4.1,1,1,4
"197",7,2.4,3,3.5,1,3,1
"198",24,3.1,3,3.6,7.5,5,3
"199",5,6.9,4.6,3.1,7.3,4,1
"200",15,5,3.2,3.6,3.6,1,2
"201",13,5.4,3.1,3.6,5.8,1,2
"202",37,1.1,9,1.6,1,1,4
"203",33,4,5,2.8,1.2,1,4
"204",36,4.2,5.4,2.7,1.1,1,4
"205",38,3.8,5.5,3.4,1,1,4
"206",40,3.7,5.6,2.8,1.1,1,4
"207",39,3.1,6.2,3.4,1.1,1,4
"208",19,5.3,5.2,3.6,7.3,3,2
"209",18,6.4,4.4,3.2,7.3,4,2
"210",8,6.5,4.4,3.2,8.8,4,1
"211",10,4.5,5.5,3,1,1,1
"212",32,3.2,5.7,3.1,1,1,4
"213",23,3.8,4.3,3,1.9,1,3
"214",21,4.1,4.1,2.7,5.3,1,3
"215",14,6.2,5.5,3.4,9,5,2
"216",12,6.6,4.6,3.5,6.8,1,2
"217",29,4.6,5.3,3.7,9,5,3
"218",22,5,4,3.2,6,1,3
"219",25,4.8,3.7,2.9,8.9,5,3
"220",1,6.9,3.6,2.6,6.8,5,1
"221",2,5.1,4.1,3.3,5.8,1,1
"222",3,7.1,5,3.2,8.6,5,1
"223",28,5,2.9,3.1,7.6,4,3
"224",17,5,2.4,2.5,2.2,1,2
"225",11,5.8,3.1,2.8,7.8,2,2
"226",26,5,1.7,3,3,1,3
"227",31,3.1,2.6,3.8,1,1,4
"228",4,6.5,4,4,8.8,4,1
"229",22,3.2,3.2,6.6,5,1,3
"230",15,5,5,5.7,3,1,2
"231",23,4.5,2.9,7.2,7.2,1,3
"232",5,7.3,3,7.7,9,3,1
"233",26,5,5,5.9,2.5,1,3
"234",1,4,5,6.2,2.8,1,1
"235",29,6.4,4.6,6.1,7.1,2,3
"236",31,4.6,3.2,6.5,5,1,4
"237",37,4.4,3.8,5.3,5,1,4
"238",4,4.4,3.6,6,3.4,1,1
"239",25,3.7,4.7,5.5,3.1,1,3
"240",7,7.2,5.7,5.3,9,5,1
"241",27,5,4.8,5.7,2.7,1,3
"242",12,6.1,4.1,5.9,7,1,2
"243",30,5,4.1,5.7,3.6,1,3
"244",8,6.1,3.9,6.2,7,4,1
"245",9,6.9,3.8,6.8,9,5,1
"246",28,5,2.3,5.8,4.9,1,3
"247",24,5,4.4,6,3.4,1,3
"248",13,5,3.1,6.3,3.4,1,2
"249",10,6.6,4.5,6.1,7.7,2,1
"250",6,6.8,4.9,4.8,9,3,1
"251",36,6.5,4.4,5.5,7.1,2,4
"252",38,6.2,4.8,5.1,6.5,1,4
"253",40,6.1,5,5.3,6.9,1,4
"254",32,6.3,3.8,5,6.5,2,4
"255",33,5.1,3.6,6,3.6,1,4
"256",11,6.4,4.4,5.7,6.9,2,2
"257",39,5.8,4.7,5.3,5,1,4
"258",17,5,4.8,5,4.2,1,2
"259",19,6.9,5.1,4.8,9,1,2
"260",2,7.9,5.1,4.5,9,5,1
"261",20,7,4,6.5,9,5,2
"262",14,7,3,6.7,9,5,2
"263",34,5.5,5.7,4,5.9,1,4
"264",18,7.1,4.6,4.1,9,5,2
"265",21,5,3.1,4.5,2.7,1,3
"266",3,7.1,5,6,9,5,1
"267",30,2.8,1,6.7,8.9,4,3
"268",21,3,3,4.7,1,1,3
"269",10,5,3.1,6.8,1,1,1
"270",28,3.5,5,6.6,6.6,1,3
"271",12,7.1,3,6.7,9,1,2
"272",7,7,6.9,4.7,9,1,1
"273",39,5,1.1,6.8,1,1,4
"274",15,5,3,6.8,6.9,1,2
"275",6,6.9,5,6.7,7.3,1,1
"276",22,3,1.8,6.6,8.9,1,3
"277",23,2.2,6.8,4.6,2.7,1,3
"278",3,6.1,2.7,6.7,7,1,1
"279",26,5,2.2,9,2,1,3
"280",36,1.1,2.9,6.6,1,1,4
"281",31,2.1,1.9,7.7,1,1,4
"282",37,1,3.2,5.8,1,1,4
"283",14,4.2,1,6.8,3,1,2
"284",25,4.1,2.5,6.7,8,1,3
"285",38,3.1,1.5,6.8,1,1,4
"286",34,5,1,9,1,1,4
"287",27,6.5,3,6.7,9,1,3
"288",4,7.1,3.4,5.6,9,1,1
"289",33,5.1,6.7,6.9,1,1,4
"290",40,5,5,6.7,9,1,4
"291",11,7,3,5.7,9,1,2
"292",8,7,4.4,6.8,9,1,1
"293",20,7,6,8.6,9,1,2
"294",2,3,3,8.2,1,1,1
"295",18,5,1.7,8.9,5.9,1,2
"296",19,6.5,5,7.9,9,1,2
"297",32,5,2.4,8,1,1,4
"298",24,3.1,5,6.9,8,1,3
"299",1,5,3.7,9,8.6,1,1
"300",5,5,1,9,7.1,4,1
"301",29,5,1,9,7.3,1,3
"302",13,6.5,1.6,8.7,7.7,1,2
"303",17,5.8,1.5,9,6.9,1,2
"304",9,6.2,3.8,8.1,9,1,1
"305",26,7.5,3,5.4,8.9,4,3
"306",3,6.4,6.9,5,5.6,3,1
"307",20,8.5,7.2,6.6,9,5,2
"308",25,5.2,4.4,2.8,2.1,2,3
"309",7,3.8,5.1,4.9,4,2,1
"310",4,6.1,5.9,5.4,6.5,3,1
"311",10,2.1,6.2,5.8,1,2,1
"312",21,3,3.1,6,1,2,3
"313",36,1.4,6.4,6.2,1,2,4
"314",9,7.2,6.7,6.7,6.7,3,1
"315",15,5.1,4.8,5.1,5.1,2,2
"316",29,4.2,5.9,6.4,6.9,3,3
"317",24,8.2,7.5,7.6,9,4,3
"318",13,4.7,3.5,2.6,2.5,1,2
"319",2,5.7,6.1,6.8,7.3,4,1
"320",30,2.7,7.6,7.6,6.5,3,3
"321",11,8.6,7,7.3,7.8,3,2
"322",27,7.3,7.5,6.6,7.1,4,3
"323",17,5.2,4.6,4.6,4.9,2,2
"324",19,6.9,5.5,5.7,6.7,5,2
"325",9,7.7,6.1,5.6,9,5,1
"326",6,6.7,5.7,5.6,6.9,1,1
"327",21,5.5,4.4,5.5,5.2,1,3
"328",13,6,4.5,5.8,5.5,2,2
"329",5,6.2,5.5,5.6,6.6,5,1
"330",31,5.7,5.5,5.3,5.4,1,4
"331",25,6,4.2,5.8,5.5,1,3
"332",12,6.1,4.6,5.3,4.6,1,2
"333",8,6,4.9,5.4,6.8,5,1
"334",7,5.8,5.1,5.4,5.7,5,1
"335",10,5.7,5.6,5,7.4,1,1
"336",36,5.8,5.5,5.9,7.2,3,4
"337",37,5.4,6.7,4.5,6.4,1,4
"338",38,5.6,5.4,5.7,5.7,1,4
"339",2,5.6,4.4,5.5,4.8,1,1
"340",27,5.5,4.9,5.5,4.6,2,3
"341",1,5.4,6.2,4.3,4.6,5,1
"342",29,6.5,6.4,4.4,8.8,5,3
"343",4,7.1,6.7,5.4,7.1,5,1
"344",18,7.4,3.9,4.8,9,5,2
"345",11,6.3,5.7,5.4,6.6,3,2
"346",14,7,5.7,5.6,7.7,5,2
"347",40,5.3,6.4,4.6,4.5,3,4
"348",23,4.1,4.2,4.3,3.9,2,3
"349",28,4.6,4,5.7,5.5,1,3
"350",22,4.3,5.1,4.8,6.1,4,3
"351",17,6,4.2,5.6,6.1,1,2
"352",32,5.7,6.3,4.3,6.2,2,4
"353",26,5.4,3.6,4.6,6.4,2,3
"354",20,6.9,5.9,4.5,7.3,5,2
"355",15,7.3,4.4,4.5,7.6,1,2
"356",34,5.8,7.1,4.1,6.6,3,4
"357",24,3.9,5.4,5.5,6.2,5,3
"358",33,6.1,7,4,6.5,4,4
"359",30,2.5,5.8,3.7,2.6,3,3
"360",39,3.8,6.9,4.2,4.2,2,4
"361",3,7,6.5,4.1,7.4,5,1
"362",14,6.9,5,6.5,8.7,5,2
"363",6,7.9,6.6,7.3,8,4,1
"364",12,7.7,1.8,4.1,8.8,1,2
"365",19,6.7,5,6.7,6.5,5,2
"366",13,6.7,2.8,7.2,7.4,2,2
"367",38,6.3,6.8,6.5,5,3,4
"368",1,7.7,7.3,6.3,7.4,5,1
"369",11,9,5,7.1,8.8,1,2
"370",5,8.6,6.4,8.2,8.8,5,1
"371",8,8.2,5,7.2,8.1,5,1
"372",21,3,3.2,6.8,7,3,3
"373",33,6.1,6.2,8,6.5,4,4
"374",4,9,6.4,6.8,7.6,5,1
"375",29,3.9,6.8,4.3,8.4,5,3
"376",22,3.8,3.6,5.4,2.9,1,3
"377",9,8.1,6.3,6.5,9,5,1
"378",26,3.7,3.8,6.9,5.2,1,3
"379",32,5,5.9,5,5,2,4
"380",28,3.5,5,5.6,6.6,1,3
"381",30,2.2,6.3,4,5,5,3
"382",2,6.4,6.4,6.6,6.9,5,1
"383",40,5.9,7.1,7.1,6.7,3,4
"384",3,6.9,4.8,5.7,6.7,5,1
"385",39,5,6.8,6.9,3.8,2,4
"386",24,3.3,3.7,6.9,6,5,3
"387",37,3.1,7,3.7,1,1,4
"388",31,5,5,8.5,4.1,1,4
"389",20,6.5,5,6.6,3.5,1,2
"390",23,5,5,5,5,1,3
"391",15,9,5,6.6,7.1,1,2
"392",25,6.9,3.1,6.9,7.1,1,3
"393",7,7,6.5,5.5,7.2,5,1
"394",34,4.4,6.3,6.9,2.4,2,4
"395",17,3,4.9,5,5,4,2
"396",10,5,7.2,7,6.2,3,1
"397",36,3.4,6.9,6.5,5,1,4
"398",27,7.2,6.1,6.6,6.8,1,3
"399",18,9,6.8,7.9,9,5,2
"400",8,2,3.9,9,1,5,1
"401",36,6.1,4.3,9,5.8,1,4
"402",19,7.6,2,7,7.2,5,2
"403",29,5.9,1.5,7.3,7.6,5,3
"404",14,4,4.5,9,3.4,5,2
"405",7,9,6.9,9,9,5,1
"406",34,5.3,3.9,7.6,5.7,1,4
"407",6,6.8,4.1,9,7,4,1
"408",24,1,2.6,4.7,6.5,5,3
"409",18,6.3,2.2,6.5,6.2,5,2
"410",37,7.1,6,9,6.3,1,4
"411",13,6,3,9,5.8,2,2
"412",5,5.8,2.4,8.1,5.7,5,1
"413",30,7,3.2,7.1,9,2,3
"414",3,6.3,3.7,9,5.9,5,1
"415",32,5.9,3.6,7.5,6.7,4,4
"416",33,4.5,3.3,9,4.8,1,4
"417",40,5.9,3.6,7.5,6.6,1,4
"418",26,5,3,9,5.4,2,3
"419",21,3.4,5.6,9,2.6,1,3
"420",27,6,3.1,7.2,6.3,1,3
"421",22,3.6,2.7,9,4.7,1,3
"422",1,2.2,6.7,9,2.5,5,1
"423",12,5.8,1,7.3,5.5,1,2
"424",25,6.1,3,6.1,6.7,1,3
"425",10,6.7,3.2,6.8,7.5,2,1
"426",2,9,7,5.3,9,5,1
"427",23,4.5,3,9,5.7,1,3
"428",39,5.4,4.3,7.1,6.5,1,4
"429",38,5.5,4.3,7.1,6.5,1,4
"430",9,4,2.3,8.9,4.4,5,1
"431",11,6.2,2.3,7.2,5.8,4,2
"432",17,6.1,3.1,7.1,6.2,5,2
"433",20,6.5,2.9,5.9,6.6,5,2
"434",28,4.2,2.3,8,4,1,3
"435",15,4.5,3,9,3.2,1,2
"436",31,4,4,9,3.1,1,4
"437",4,5,3.4,9,5.8,5,1
"438",12,5.9,3.1,5.9,5.7,1,2
"439",15,4.3,3.4,5.9,4.3,1,2
"440",19,7.7,6.7,6.1,6.9,4,2
"441",10,6.3,7.2,6.6,5.8,1,1
"442",32,4.4,4,5.5,3,1,4
"443",18,6.9,5.9,6.1,8.2,3,2
"444",23,4.6,4.5,5.6,6.2,1,3
"445",13,5,4.3,4.1,3.3,1,2
"446",6,5.8,4.5,3.8,5.5,1,1
"447",37,5.5,7,5.5,3.9,1,4
"448",40,5,5.9,4.3,5.5,1,4
"449",39,4,5.8,5.7,4.1,1,4
